"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"NWMWRddLQl",2021-05-30,"zeQZkL1MKw","EKXMeX3Q64",0,3
"2lqRGDDnQr",2021-05-29,"kaDQ0wRqEv","0KPqjA456v",1,0
"vzqo2VVL5a",2021-05-29,"eVq3ya6MWO","Vj58weDM8n",1,2
"eVq3J88j5W",2021-05-29,"KAqBN0Vqbg","vzqoOgNqap",2,2
"gpMOBNN1Qz",2021-05-29,"mvzqoLZQap","kRQabn8MKZ",2,1
"KAqBPWWVMb",2021-05-29,"NWMWlBK5lz","19vQ2095K6",0,1
"0x5gXGGLq7",2021-05-29,"a2lqRX2Mr0","jYQJ8EW5GR",2,1
"gOMnXkkJqw",2021-05-29,"X0Oq66zq6D","APk5LGOMOW",0,1
"vzqo2Vvp5a",2021-05-24,"vzqoOgNqap","gpMOLwl5zy",1,0
"2lqRGDv4Qr",2021-05-23,"EKXMeX3Q64","9z5k7Yg5A3",0,1
"gOMnXkveqw",2021-05-23,"jYQJ19EqGR","KAqBN0Vqbg",1,1
"NWMWRdvNQl",2021-05-23,"eVq3ya6MWO","pzeQZ6xQKw",2,1
"KAqBPW1WMb",2021-05-23,"0KPqjA456v","Z2vQ1xlqrA",1,3
"0Oq6BXnPq6",2021-05-23,"YgOMngl5wN","lgpMOvnQzy",2,1
"eVq3J8GG5W",2021-05-23,"19vQ2095K6","a2lqRX2Mr0",3,1
"Oa5wXrGgq1",2021-05-23,"mKAqBBmqbg","a2lqR4JMr0",2,2
"jYQJl9xG5G",2021-05-22,"Vj58weDM8n","mvzqoLZQap",1,2
"7VqGDnexQv",2021-05-22,"jYQJ8EW5GR","kRQabn8MKZ",1,0
"gpMOBNKyQz",2021-05-22,"X0Oq66zq6D","zeQZkL1MKw",1,0
"Xj5YkXvlQb",2021-05-22,"WBLMvYAQxe","kaDQ0wRqEv",3,0
"0x5gXGvmq7",2021-05-22,"APk5LGOMOW","NWMWlBK5lz",1,2
"ljqEy68kqx",2021-05-17,"jYQJ19EqGR","eVq3ya6MWO",2,0
