"player_id","team_id","general_position","minutes_played","action_type","goals_added_raw","goals_added_above_avg","count_actions","Date"
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Handling",0.0401,0.0433,3,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Passing",0.078,0.0136,39,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Shotstopping",-1.1972,-1.1952,6,2013-03-03
"eV5DNdnQKn","4wM42l4qjB","GK",98,"Sweeping",-0.2238,-0.2296,5,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Claiming",0.0102,0.013,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Fielding",-0.0028,0.0035,16,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Handling",-0.1066,-0.1098,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Passing",0.0994,0.0365,38,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Shotstopping",0.3065,0.3503,3,2013-03-03
"gpMOV4DQzy","APk5LGOMOW","GK",101,"Sweeping",0.0054,0.0046,4,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Claiming",0,0.0021,0,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Fielding",-1e-04,0.0061,3,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Handling",0.0059,0.0083,2,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Passing",0.0509,-0.0141,27,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Shotstopping",0.1966,0.2277,2,2013-03-03
"KAqBw4mQbg","mvzqoLZQap","GK",98,"Sweeping",0.0398,0.0396,3,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Claiming",0.1219,0.124,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Fielding",-0.0053,8e-04,23,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Handling",-0.0272,-0.025,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Passing",0.0251,-0.0396,38,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Shotstopping",0.0715,0.0979,1,2013-03-03
"lgpMOvnQzy","kaDQ0wRqEv","GK",96,"Sweeping",0,-0.0011,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Claiming",-0.0017,3e-04,2,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Fielding",0.0048,0.0108,12,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Handling",0,0.0022,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Passing",0.0829,0.018,26,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Shotstopping",0,0.0262,0,2013-03-03
"Pk5LW37MOW","YgOMngl5wN","GK",95,"Sweeping",0.0902,0.0882,1,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Claiming",0,0.0022,0,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Fielding",0.0013,0.0078,14,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Handling",-0.042,-0.0418,3,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Passing",0.0619,-0.0029,25,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Shotstopping",-0.3101,-0.2984,4,2013-03-03
"zeQZ0az5Kw","jYQJ19EqGR","GK",101,"Sweeping",-0.0038,-0.0051,1,2013-03-03
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Claiming",0,0.0021,0,2013-03-04
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Fielding",-0.1022,-0.0981,9,2013-03-04
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Handling",0.0252,0.028,2,2013-03-04
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Passing",0.0333,-0.0321,14,2013-03-04
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Shotstopping",-1.2155,-1.2138,5,2013-03-04
"raMy7oNqd2","WBLMvYAQxe","GK",98,"Sweeping",0.0589,0.0591,1,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Claiming",0.0079,0.0101,2,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Fielding",0.0083,0.0145,18,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Handling",-0.0022,0,2,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Passing",0.083,0.0185,35,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Shotstopping",0.4693,0.5009,2,2013-03-04
"vzqoOapqap","a2lqR4JMr0","GK",97,"Sweeping",-0.0058,-0.0069,2,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Claiming",0.0084,0.0107,4,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Fielding",-0.004,0.0021,10,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Handling",-0.1254,-0.1257,6,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Passing",0.0505,-0.0145,33,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Shotstopping",-0.0987,-0.0737,8,2013-03-04
"vzqoWbkqap","a2lqRX2Mr0","GK",98,"Sweeping",0.0712,0.0716,2,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Claiming",0.0167,0.019,4,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Fielding",-0.0038,0.0024,18,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Handling",-0.1807,-0.1803,4,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Passing",0.0841,0.0197,36,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Shotstopping",-0.2916,-0.2679,6,2013-03-04
"wvq9j2YQWn","0KPqjA456v","GK",97,"Sweeping",0.0141,0.0132,1,2013-03-04
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Claiming",-0.3745,-0.388,6,2013-03-09
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Fielding",3e-04,0.0067,3,2013-03-09
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Handling",0,0.0023,0,2013-03-09
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Passing",0.07,0.0056,33,2013-03-09
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Shotstopping",-0.5252,-0.5195,1,2013-03-09
"2lqRRj84qr","kRQabn8MKZ","GK",100,"Sweeping",0,-0.0011,0,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Claiming",0.0043,0.0067,3,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Fielding",0.0019,0.0083,13,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Handling",0.0171,0.0202,1,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Passing",0.0762,0.012,30,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Shotstopping",-0.8836,-0.8929,3,2013-03-09
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",100,"Sweeping",1e-04,-0.001,2,2013-03-09
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Claiming",3e-04,0.0024,1,2013-03-10
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Fielding",0,0.0061,3,2013-03-10
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Handling",0.0143,0.0167,2,2013-03-10
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Passing",0.0417,-0.0232,20,2013-03-10
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Shotstopping",0.264,0.2934,2,2013-03-10
"4JMA2D75Kg","EKXMeX3Q64","GK",97,"Sweeping",0.0022,0.0011,2,2013-03-10
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Claiming",-0.0013,8e-04,1,2013-03-10
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Fielding",0.0032,0.0095,7,2013-03-10
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Handling",-0.0376,-0.036,2,2013-03-10
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Passing",0.0399,-0.0253,16,2013-03-10
"9z5kGga5A3","X0Oq66zq6D","GK",98,"Shotstopping",-0.0687,-0.0431,3,2013-03-10
