"Date","team_id","team_abbr","Dribbling_Field","Fouling_Field","Interrupting_Field","Passing_Field","Receiving_Field","Shooting_Field","Claiming_GK","Fielding_GK","Handling_GK","Passing_GK","Shotstopping_GK","Sweeping_GK","offensive_gplus","team_xgoals","opposition_team_id","opposition_team_abbr"
2013-03-10,"lgpMOvnQzy","VAN",0.0982,-0.0375,0.0215,0.1773,-0.0854,-0.0876,0.0058,0.0019,0.0395,0.0182,0.2302,-0.0011,0.1207,1.3583,"mvzqoLZQap","CLB"
2013-03-10,"mKAqBBmqbg","FCD",0.2073,-0.0373,-0.3905,-0.1388,-0.0686,0.143,0.0052,0.0221,0.0205,-0.0168,-0.5486,0.0477,0.1261,1.2989,"4wM42l4qjB","CHV"
2013-03-10,"mvzqoLZQap","CLB",-0.1759,-0.014,0.4781,0.2597,-0.0544,-0.1663,0.0021,0.0167,-0.0213,0.0085,-0.4775,0.0241,-0.1284,0.96,"lgpMOvnQzy","VAN"
2013-03-10,"pzeQZ6xQKw","COL",-0.1232,-0.0428,-0.365,0.1815,0.0285,-0.072,-0.1459,0.0059,-0.0075,-0.0496,-1.3262,-0.0105,-0.0348,0.7153,"9z5k7Yg5A3","PHI"
2013-03-10,"WBLMvYAQxe","POR",0.2559,0.1118,-0.1432,0.00709999999999999,0.186,0.1275,0.0021,0.0063,-0.007,0.0017,-0.3157,-0.0701,0.5782,1.6451,"APk5LGOMOW","MTL"
2013-03-10,"X0Oq66zq6D","CHI",-0.074,-0.0288,0.0824,0.1355,-0.1132,-0.2209,8e-04,0.0095,-0.036,-0.0253,-0.0431,0.0052,-0.2979,0.675,"19vQ2095K6","NER"
2013-03-11,"0KPqjA456v","SJE",-0.0297,0.0435,-0.4705,0.0681,-0.2568,-0.2547,0.0102,0.0041,0.0143,-0.0073,-0.1267,-0.0011,-0.4804,1.8182,"a2lqRX2Mr0","NYRB"
2013-03-11,"a2lqRX2Mr0","NYRB",0.1659,-0.2672,-0.029,0.0437,-0.3978,-0.1598,0.0087,0.0093,0.0023,-0.0065,-0.2063,0.0164,-0.3545,1.4299,"0KPqjA456v","SJE"
2013-03-16,"0KPqjA456v","SJE",0.00260000000000001,-0.0294,0.1573,-0.0451,-0.3055,0.0132,0.0021,0.0024,0.0813,0.0291,0.4971,0.0112,-0.3057,1.0908,"mvzqoLZQap","CLB"
2013-03-16,"19vQ2095K6","NER",-0.1395,0.0918,-0.0685,0.2792,-0.0482,-0.1596,0.0265,0.0064,-0.1203,0.004,0.1832,0.0206,-0.0641,1.382,"9z5k7Yg5A3","PHI"
2013-03-16,"9z5k7Yg5A3","PHI",-0.0271,-0.1291,-0.1229,0.0243,-0.2904,-0.1632,0.0053,0.0067,-1e-04,0.0105,0.4124,-0.0287,-0.4459,1.0455,"19vQ2095K6","NER"
2013-03-16,"a2lqR4JMr0","RSL",-0.5759,0.0042,-0.5848,0.56,-0.1965,0.0348,0.0021,0.0124,0.1125,0.0847,0.1494,-0.0091,-0.0928999999999999,1.1263,"pzeQZ6xQKw","COL"
2013-03-16,"a2lqRX2Mr0","NYRB",0.1825,-0.0457,-0.0436,0.3956,0.6552,0.1878,0.0012,0.0035,-0.0188,-0.0116,0.1443,-0.012,1.4095,2.3241,"EKXMeX3Q64","DCU"
2013-03-16,"APk5LGOMOW","MTL",-0.1674,0.0172,-0.7602,0.0676,-0.0018,-0.0636,0.0223,0.0387,-0.067,-0.0383,-0.1439,0.0038,-0.2035,1.7951,"kRQabn8MKZ","TOR"
2013-03-16,"EKXMeX3Q64","DCU",-0.2272,0.0185,0.7446,-0.2658,-0.3967,-0.2157,0.0443,3e-04,-0.2021,-0.0193,1.5047,0.0054,-1.1247,0.1944,"a2lqRX2Mr0","NYRB"
2013-03-16,"kRQabn8MKZ","TOR",0.1501,0.049,-0.3771,-0.1204,-0.4879,-0.1735,0.0021,0.0084,0.0322,0.0076,0.768,0.0399,-0.6241,1.5937,"APk5LGOMOW","MTL"
2013-03-16,"mvzqoLZQap","CLB",-0.0918,0.007,-0.033,0.1157,-0.234,-0.1077,0.0113,0.0035,0.0171,-0.0024,-0.1954,0.0047,-0.3202,0.9133,"0KPqjA456v","SJE"
2013-03-16,"pzeQZ6xQKw","COL",0.3105,-0.0144,-0.1265,-0.1653,-0.2994,-0.024,0.0026,0.0069,0.0306,-0.0048,-0.2012,-0.0054,-0.183,0.9392,"a2lqR4JMr0","RSL"
2013-03-16,"X0Oq66zq6D","CHI",-0.259,-0.0299,0.2071,-0.2727,-0.4245,-0.1637,0.1199,0.0061,0.0291,-0.0176,0.0996,0.0152,-1.1375,0.2074,"Z2vQ1xlqrA","SKC"
2013-03-16,"Z2vQ1xlqrA","SKC",-0.0273,0.0617,-0.1678,-0.2644,0.3239,0.0239,0.0035,0.0083,-0.0391,-0.0017,0.0776,0.07,0.0544,1.1874,"X0Oq66zq6D","CHI"
2013-03-17,"4wM42l4qjB","CHV",-0.049,-0.0804,0.0691,-0.3127,-0.3123,-0.2072,0.003,0.0645,0.0242,0.0231,0.1205,0.0892,-0.8581,0.3843,"kaDQ0wRqEv","LAG"
2013-03-17,"jYQJ19EqGR","SEA",-0.0577,-0.1092,0.3294,-0.1365,0.1151,-0.1902,0.0032,0.0106,-0.0099,0.0196,-0.4071,-0.0011,-0.2497,1.0594,"WBLMvYAQxe","POR"
2013-03-17,"kaDQ0wRqEv","LAG",0.0393,0.0466,-0.3245,0.5959,0.0832,-0.0875,0.0021,0.0126,0.0023,0.0414,-0.2806,-0.0025,0.6723,1.1945,"4wM42l4qjB","CHV"
2013-03-17,"mKAqBBmqbg","FCD",0.1708,-0.0062,-0.2806,-0.0316,-0.2873,-0.0196,-0.1951,0.0102,0.0536,0.022,-0.3786,0.1115,-0.1457,1.4481,"YgOMngl5wN","HOU"
2013-03-17,"WBLMvYAQxe","POR",-0.2484960953,0.0867,-0.1908,-0.0459,-0.1924,-0.0547,0.0021,0.0082,0.0353,-0.0552,0.2293,-0.0011,-0.5966960953,0.6537,"jYQJ19EqGR","SEA"
2013-03-17,"YgOMngl5wN","HOU",0.0217,-0.0112,-0.4334,-0.0547,-0.4783,-0.1475,0.0057,0.0038,0.008,0.0469,-0.3938,0.0116,-0.6119,0.9302,"mKAqBBmqbg","FCD"
2013-03-23,"19vQ2095K6","NER",-0.2824,0.0214,-0.3244,-0.1002,-0.4663,-0.3234,0.0031,0.0081,0.069,-4e-04,0.2639,0.0058,-1.1727,0.2083,"Z2vQ1xlqrA","SKC"
2013-03-23,"a2lqRX2Mr0","NYRB",0.0778,0.00550000000000001,-0.2865,0.00880355319999999,-0.319,-0.0268,0.0021,0.004,-7.7894e-06,-0.0064,0.2125,0.0334,-0.2655964468,1.4927,"APk5LGOMOW","MTL"
2013-03-23,"APk5LGOMOW","MTL",-0.0921,-0.0145,0.2593,0.397,0.1598,-0.0787,0.0237,-0.0106,0.0548,0.0089,1.102,-0.0128,0.3949,1.576,"a2lqRX2Mr0","NYRB"
2013-03-23,"EKXMeX3Q64","DCU",0.0298,-0.005,0.1551,-0.4269,-0.2903,-0.0172,-0.0984,0.0029,-0.0974,0.0508,0.03,-0.0011,-0.6538,0.5803,"mvzqoLZQap","CLB"
2013-03-23,"mvzqoLZQap","CLB",-0.3224,-0.0128958248,-0.0453,0.0828,-0.3145,-0.0016,-0.002,0.0106,-0.027,-0.0395,0.6697,-0.1458,-0.5952,1.2848,"EKXMeX3Q64","DCU"
2013-03-23,"Z2vQ1xlqrA","SKC",-0.2008,-0.0359,-0.2375,-0.2296,-0.076,-0.0304,0.0013,0.0116,0.0022,-0.0082,0.0262,0.0333,-0.545,0.9324,"19vQ2095K6","NER"
2013-03-24,"0KPqjA456v","SJE",0.1048,-0.0586,0.1008,-0.0095,0.0435,-0.0154,0.0721,0.001,0.0112,0.034,0.9569,0.0348,0.1574,1.4359,"jYQJ19EqGR","SEA"
2013-03-24,"4wM42l4qjB","CHV",0.2054,-0.0125,-0.4287,-0.3879,-0.3614,-0.0105,5e-04,0.0066,-0.0041,-0.028,0.4405,0.0554,-0.5824,0.589,"X0Oq66zq6D","CHI"
2013-03-24,"a2lqR4JMr0","RSL",0.1255,-0.0313,0.0478,-0.4071,-0.4219,-0.1643,0.0426,-0.1282,0.0155,0.0042,-0.1786,-0.0024,-0.8636,0.9062,"mKAqBBmqbg","FCD"
2013-03-24,"jYQJ19EqGR","SEA",0.0962,0.025,-0.362,-0.1457,-0.016,0.0137,0.0034,0.0042,-0.0433,0.0017,0.6761,-0.0068,-0.0501,1.1746,"0KPqjA456v","SJE"
2013-03-24,"kaDQ0wRqEv","LAG",0.2244,0.2582,-0.352,0.3292,-0.0843,0.0872,0.0021,0.0116,-0.0522,0.0114,0.4934,-0.0025,0.5679,2.7344,"pzeQZ6xQKw","COL"
2013-03-24,"lgpMOvnQzy","VAN",0.2036,0.0345,-0.4273,-0.1417,-0.2492,-0.0843,-0.0369,0.0066,-0.0229,0.0362,-0.4071,-0.0132,-0.2354,0.8933,"YgOMngl5wN","HOU"
2013-03-24,"mKAqBBmqbg","FCD",-0.1819,0.0167,0.4908,0.2623,0.0329,0.0568,0.0033,0.0058,0.0428,0.0225,1.0282,-0.0011,0.1926,1.552,"a2lqR4JMr0","RSL"
2013-03-24,"pzeQZ6xQKw","COL",-0.0811,-0.1948,0.0765,-0.304,-0.3196,-0.1733,0.0152,0.0076,-0.0508,-0.0379,1.6956,0.0239,-0.9159,0.2426,"kaDQ0wRqEv","LAG"
2013-03-24,"X0Oq66zq6D","CHI",0.0125,0.0273,-0.2466,0.0619,0.042,0.1095,0.0021,0.0121,0.029,-0.0334,-0.9289,0.0104,0.1925,1.8764,"4wM42l4qjB","CHV"
2013-03-24,"YgOMngl5wN","HOU",0.3657,-0.073,-0.4731,0.2353,-0.3977,-0.0488,0.0176,0.0054,0.0933,0.0319,0.6051,-4e-04,0.1864,1.6562,"lgpMOvnQzy","VAN"
2013-03-30,"19vQ2095K6","NER",-0.2308,0.066,-0.2203,-0.1118,0.1744,-0.0888,0.0053,0.0074,0.0276,0.0179,0.0526,0.217,-0.2391,0.842,"mKAqBBmqbg","FCD"
2013-03-30,"9z5k7Yg5A3","PHI",-0.2982,-0.0291,0.1497,0.1732,-0.2051,-0.217,0.0142,0.009,0.0462,0.0065,-0.1236,0.0022,-0.5406,0.8265,"a2lqRX2Mr0","NYRB"
2013-03-30,"a2lqRX2Mr0","NYRB",-0.207,-0.0101,-0.1168,0.4959,-0.134,-0.119,0.0033,0.0408,0.0281,0.0095,-0.6003,-0.0116,0.0454,1.3634,"9z5k7Yg5A3","PHI"
2013-03-30,"kaDQ0wRqEv","LAG",0.1762,0.0066,-0.5171,0.2518,-0.3902,-0.1147,0.0021,0.0083,0.0405,0.0105,-0.7872,0.0267,-0.0664000000000001,1.7259,"kRQabn8MKZ","TOR"
2013-03-30,"kRQabn8MKZ","TOR",-0.1008,-0.0323,-0.92,-0.0699,-0.4505,-0.2404,-0.0517,0.0047,-0.1365,-0.0046,0.5119,0.0637,-0.8662,0.6309,"kaDQ0wRqEv","LAG"
2013-03-30,"mKAqBBmqbg","FCD",-0.4455,-0.0662,0.2893,0.2217,0.0628,-0.0584,0.0033,0.0021,0.0899,-0.015,0.8738,-0.0011,-0.2344,1.2254,"19vQ2095K6","NER"
2013-03-30,"pzeQZ6xQKw","COL",-0.0279,0.0903,-0.0927,9.99999999999998e-05,-0.3265,-0.000600000000000001,0.0111,-0.0017,0.0023,0.0072,-0.4641,-0.0011,-0.3477,1.7712,"WBLMvYAQxe","POR"
2013-03-30,"WBLMvYAQxe","POR",-0.3861,-0.0056,-0.515,-0.1577,-0.2147,-0.1008,0.0126,0.0064,-0.0059,0.0076,-0.3159,-0.0011,-0.8517,1.25,"pzeQZ6xQKw","COL"
2013-03-31,"0KPqjA456v","SJE",0.0109,0.0054,-0.1283,-0.1223,-0.4277,-0.1418,-0.0719,-0.0054,0.0696,0.0114,0.2254,-0.009,-0.6695,0.8307,"YgOMngl5wN","HOU"
2013-03-31,"4wM42l4qjB","CHV",0.0959,-0.0581,-0.1614,-0.0492,-0.2785,-0.0107,0.0091,0.0043,0.0362,0.0283,-0.4746,0.0076,-0.2142,0.8231,"lgpMOvnQzy","VAN"
2013-03-31,"a2lqR4JMr0","RSL",0.2007,0.0385,0.1642,0.2081,0.223,0.1997,0.0049,0.0062,0.0463,0.0096,1.3429,0.0595,0.8411,3.0414,"jYQJ19EqGR","SEA"
2013-03-31,"APk5LGOMOW","MTL",0.0319,-0.0378,0.0695,-0.2698,-0.3538,-0.187,0.0047,0.0103,-0.1529,-0.0255,-0.9146,0.0305,-0.8042,0.3804,"Z2vQ1xlqrA","SKC"
2013-03-31,"jYQJ19EqGR","SEA",-0.5172,-0.0788,-0.0595,0.3594,0.075,-0.157,0.0021,0.0024,-0.0655,0.0437,0.7923,-0.0711,-0.1961,1.0095,"a2lqR4JMr0","RSL"
2013-03-31,"lgpMOvnQzy","VAN",0.0858,0.0876,-0.2424,0.0467,-0.1497,0.0102,0.0021,0.0081,-0.001,-0.0099,0.806,-0.001,-0.0169,1.7022,"4wM42l4qjB","CHV"
2013-03-31,"YgOMngl5wN","HOU",-0.2461,-0.0195,0.4267,0.0403,-0.0805,-0.0777,0.0032,0.01,0.0043,-0.0199,0.0812,-0.0011,-0.3839,1.2023,"0KPqjA456v","SJE"
2013-03-31,"Z2vQ1xlqrA","SKC",-0.0622,0.043,0.0427,0.331,0.2908,0.0811,0.0035,0.0041,0.0146,-0.0083,0.0535,0.0107,0.6324,1.6886,"APk5LGOMOW","MTL"
2013-04-06,"9z5k7Yg5A3","PHI",0.061,0.0129,-0.5645,0.2627,-0.1695,-0.0925,-0.0329,0.0033,0.038,0.0208,-0.3654,-0.0011,0.0825,1.5852,"mvzqoLZQap","CLB"
2013-04-06,"a2lqR4JMr0","RSL",-0.2836,0.2656,-0.2209,0.1236,-0.1811,-0.1999,0.003,0.0095,0.002,0.0471,0.819,0.0267,-0.4939,1.715,"pzeQZ6xQKw","COL"
2013-04-06,"EKXMeX3Q64","DCU",0.0675,0.0018,-0.295,-0.1974,-0.5181,-0.2856,0.0313,0.025,-0.0478,-0.0049,-0.2801,-0.0039,-0.9385,0.6528,"Z2vQ1xlqrA","SKC"
2013-04-06,"kRQabn8MKZ","TOR",-0.5404,-0.000900000000000001,0.1025,0.1972,0.055,-0.175,0.0037,0.0027,-0.036,0.0104,-0.7671,-0.0011,-0.4528,1.4901,"mKAqBBmqbg","FCD"
2013-04-06,"mKAqBBmqbg","FCD",0.0738,-0.0078,-0.6356,-0.078,-0.1492,-0.041,0.0283,-0.0082,0.0351,-0.0338,0.3212,0.0207,-0.2282,1.2051,"kRQabn8MKZ","TOR"
2013-04-06,"mvzqoLZQap","CLB",0.4097,-0.049,-0.1755,-0.0496,-0.3494,-0.1523,0.0021,0.0037,-0.0241,0.0241,0.0335,-0.0011,-0.1175,0.9327,"9z5k7Yg5A3","PHI"
2013-04-06,"pzeQZ6xQKw","COL",-0.0432,-0.2795,-0.3588,0.0186,-0.00940000000000001,-0.123,0.0159,0.0062,-0.0935,-0.0314,1.0005,0.0444,-0.1884,1.6344,"a2lqR4JMr0","RSL"
